no,short_code,question_en,question_kh,description,unit_en,unit_kh,group_en,group_kh,validate_rule
44,M18_Plas_Craft_P1,"# of people whose occupation is producing plastic, basin, tap and rubber products",ចំនួនមនុស្សមានមុខរបរសិប្បកម្មផលិតពី ជ័រផ្លាស្ទីក ធុងទឹក ទុយោ គ្រឿងជ័រ,"# Boys above 18, whose primary occupation is PLASTIC/RUBBER  products",People,នាក់,Craflwork,មុខរបរធ្វើសិប្បកម្ម,
44.f,F18_Plas_Craft_P1,"# of people whose occupation is producing plastic, basin, tap and rubber products",ចំនួនមនុស្សមានមុខរបរសិប្បកម្មផលិតពី ជ័រផ្លាស្ទីក ធុងទឹក ទុយោ គ្រឿងជ័រ,"# Girls above 18, whose primary occupation is PLASTIC/RUBBER  products",People,នាក់,Craflwork,មមុខរបរធ្វើសិប្បកម្ម,
44.a,M18_Plas_Craft_P2,"# of people whose occupation is producing plastic, basin, tap and rubber products",ចំនួនមនុស្សមានមុខរបរសិប្បកម្មផលិតពី ជ័រផ្លាស្ទីក ធុងទឹក ទុយោ គ្រឿងជ័រ,"# Boys above 18, whose secondary occupation is PLASTIC/RUBBER  products",People,នាក់,Craflwork,មុខរបរធ្វើសិប្បកម្ម,
44.a.f,F18_Plas_Craft_P2,"# of people whose occupation is producing plastic, basin, tap and rubber products",ចំនួនមនុស្សមានមុខរបរសិប្បកម្មផលិតពី ជ័រផ្លាស្ទីក ធុងទឹក ទុយោ គ្រឿងជ័រ,"# Girls above 18, whose secondary occupation is PLASTIC/RUBBER  products",People,នាក់,Craflwork,មុខរបរធ្វើសិប្បកម្ម,
45,M18_Food_Craft_P1,"# of people who is making processing food product packaging or cereal (cake, noodle)",ចំនួនមនុស្សមានមុខរបរសិប្បកម្ម កែឆ្នែឬ វិចខ្ជប់គ្រាប់ធញ្ញជាតិ (នំ គុយទាវ មី ទឹកកស៊ីអ៊ីវ ទឹកផ្លែឈើ',"# Boys above 18, whose primary occupation is PROCESSING FOOD  products",People,នាក់,Craflwork,មុខរបរធ្វើសិប្បកម្ម,
45.f,F18_Food_Craft_P1,"# of people who is making processing food product packaging or cereal (cake, noodle)",ចំនួនមនុស្សមានមុខរបរសិប្បកម្ម កែឆ្នែឬ វិចខ្ជប់គ្រាប់ធញ្ញជាតិ (នំ គុយទាវ មី ទឹកកស៊ីអ៊ីវ ទឹកផ្លែឈើ',"# Girls above 18, whose primary occupation is PROCESSING FOOD  products",People,នាក់,Craflwork,មមុខរបរធ្វើសិប្បកម្ម,
45.a,M18_Food_Craft_P2,"# of people who is making processing food product packaging or cereal (cake, noodle)",ចំនួនមនុស្សមានមុខរបរសិប្បកម្ម កែឆ្នែឬ វិចខ្ជប់គ្រាប់ធញ្ញជាតិ (នំ គុយទាវ មី ទឹកកស៊ីអ៊ីវ ទឹកផ្លែឈើ',"# Boys above 18, whose secondary occupation is PROCESSING FOOD  products",People,នាក់,Craflwork,មុខរបរធ្វើសិប្បកម្ម,
45.a.f,F18_Food_Craft_P2,"# of people who is making processing food product packaging or cereal (cake, noodle)",ចំនួនមនុស្សមានមុខរបរសិប្បកម្ម កែឆ្នែឬ វិចខ្ជប់គ្រាប់ធញ្ញជាតិ (នំ គុយទាវ មី ទឹកកស៊ីអ៊ីវ ទឹកផ្លែឈើ',"# Girls above 18, whose secondary occupation is PROCESSING FOOD  products",People,នាក់,Craflwork,មុខរបរធ្វើសិប្បកម្ម,
46,M18_Oth_Craft_P1,# of people who is making other handicraft not mentioned above,ចំនួនមនុស្សមានមុខរបរសិប្បកម្ម ផលិតផ្សេងៗ ដែលគ្មានឈ្មោះខាងលើ,"# Boys above 18, whose primary occupation is OTHER handicrafts",People,នាក់,Craflwork,មុខរបរធ្វើសិប្បកម្ម,
46.f,F18_Oth_Craft_P1,# of people who is making other handicraft not mentioned above,ចំនួនមនុស្សមានមុខរបរសិប្បកម្ម ផលិតផ្សេងៗ ដែលគ្មានឈ្មោះខាងលើ,"# Girls above 18, whose primary occupation is OTHER handicrafts",People,នាក់,Craflwork,មមុខរបរធ្វើសិប្បកម្ម,
46.a,M18_Oth_Craft_P2,# of people who is making other handicraft not mentioned above,ចំនួនមនុស្សមានមុខរបរសិប្បកម្ម ផលិតផ្សេងៗ ដែលគ្មានឈ្មោះខាងលើ,"# Boys above 18, whose secondary occupation is OTHER handicrafts",People,នាក់,Craflwork,មុខរបរធ្វើសិប្បកម្ម,
46.a.f,F18_Oth_Craft_P2,# of people who is making other handicraft not mentioned above,ចំនួនមនុស្សមានមុខរបរសិប្បកម្ម ផលិតផ្សេងៗ ដែលគ្មានឈ្មោះខាងលើ,"# Girls above 18, whose secondary occupation is OTHER handicrafts",People,នាក់,Craflwork,មុខរបរធ្វើសិប្បកម្ម,
47,M18_Trader_P1,# of people who is retailer and trader,ចំនួនមនុស្សមានមុខរបរលក់ដូរនិងធ្វើជំនួញ,,People,នាក់,Services,មុខរបរសេវាកម្ម,
47.f,F18_Trader_P1,# of people who is retailer and trader,ចំនួនមនុស្សមានមុខរបរលក់ដូរនិងធ្វើជំនួញ,,People,នាក់,Services,មុខរបរសេវាកម្ម,
47.a,M18_Trader_P2,# of people who is retailer and trader,ចំនួនមនុស្សមានមុខរបរលក់ដូរនិងធ្វើជំនួញ,"# Boys above 18, whose secondary occupation is Trader",People,នាក់,Services,មុខរបរសេវាកម្ម,
47.a.f,F18_Trader_P2,# of people who is retailer and trader,ចំនួនមនុស្សមានមុខរបរលក់ដូរនិងធ្វើជំនួញ,"# Girls above 18, whose secondary occupation is Trader",People,នាក់,Services,មុខរបរសេវាកម្ម,
48,M18_Repair_Sev_P1,# of people who is repaired people,ចំនួនមនុស្សមានមុខរបរជាជាងជួសជុល,,People,នាក់,Services,មុខរបរសេវាកម្ម,
48.f,F18_Repair_Sev_P1,# of people who is repaired people,ចំនួនមនុស្សមានមុខរបរជាជាងជួសជុល,,People,នាក់,Services,មុខរបរសេវាកម្ម,
48.a,M18_Repair_Sev_P2,# of people who is repaired people,ចំនួនមនុស្សមានមុខរបរជាជាងជួសជុល,"# Boys above 18, whose secondary occupation is repairer",People,នាក់,Services,មុខរបរសេវាកម្ម,
48.a.f,F18_Repair_Sev_P2,# of people who is repaired people,ចំនួនមនុស្សមានមុខរបរជាជាងជួសជុល,"# Grils above 18, whose secondary occupation is repairer",People,នាក់,Services,មុខរបរសេវាកម្ម,
49,M18_Tran_Sev_P1,"# of people who is transportation service provider (taxi, motor taxi boat driver.)",ចំនួនមនុស្សមានមុខក្នុងវិស័យដឹកជញ្ជូន (តាក់ស៊ី ម៉ូតូឌុប បើកកាណូត ទូកដរ...,"# Boys above 18, whose primary occupation is transportation",People,នាក់,Services,មុខរបរសេវាកម្ម,
49.f,F18_Tran_Sev_P1,"# of people who is transportation service provider (taxi, motor taxi boat driver.)",ចំនួនមនុស្សមានមុខក្នុងវិស័យដឹកជញ្ជូន (តាក់ស៊ី ម៉ូតូឌុប បើកកាណូត ទូកដរ...,"# Girls above 18, whose primary occupation is transportation",People,នាក់,Services,មុខរបរសេវាកម្ម,
49.a,M18_Tran_Sev_P2,"# of people who is transportation service provider (taxi, motor taxi boat driver.)",ចំនួនមនុស្សមានមុខក្នុងវិស័យដឹកជញ្ជូន (តាក់ស៊ី ម៉ូតូឌុប បើកកាណូត ទូកដរ...,"# Boys above 18, whose secondary occupation is transportation",People,នាក់,Services,មុខរបរសេវាកម្ម,
49.a.f,F18_Tran_Sev_P2,"# of people who is transportation service provider (taxi, motor taxi boat driver.)",ចំនួនមនុស្សមានមុខក្នុងវិស័យដឹកជញ្ជូន (តាក់ស៊ី ម៉ូតូឌុប បើកកាណូត ទូកដរ...,"# Girls above 18, whose secondary occupation is transportation",People,នាក់,Services,មុខរបរសេវាកម្ម,
50,M18_Wage_Emp_P1,# of people who is wage employment in agriculture/construction,ចំនួនមនុស្សមានមុខរបរដើរស៊ីឈ្នួល ក្នុងវិស័យកសិកម្ម កម្មករសំណង់...,"# Boys above 18, whose primary occupation is wage employment in agriculture/construction",People,នាក់,Services,មុខរបរសេវាកម្ម,
50.f,F18_Wage_Emp_P1,# of people who is wage employment in agriculture/construction,ចំនួនមនុស្សមានមុខរបរដើរស៊ីឈ្នួល ក្នុងវិស័យកសិកម្ម កម្មករសំណង់...,"# Girls above 18, whose primary occupation is wage employment in agriculture/construction",People,នាក់,Services,មុខរបរសេវាកម្ម,
50.a,M18_Wage_Emp_P2,# of people who is wage employment in agriculture/construction,ចំនួនមនុស្សមានមុខរបរដើរស៊ីឈ្នួល ក្នុងវិស័យកសិកម្ម កម្មករសំណង់...,"# Boys above 18, whose secondary occupation is wage employment in agriculture/construction",People,នាក់,Services,មុខរបរសេវាកម្ម,
50.a.f,F18_Wage_Emp_P2,# of people who is wage employment in agriculture/construction,ចំនួនមនុស្សមានមុខរបរដើរស៊ីឈ្នួល ក្នុងវិស័យកសិកម្ម កម្មករសំណង់...,"# Girls above 18, whose secondary occupation is wage employment in agriculture/construction",People,នាក់,Services,មុខរបរសេវាកម្ម,
51,M18_Private_Sec_P1,"# of people who is employment in private sector (staff, factory, NGO)",ចំនួនមនុស្សមានមុខរបរក្នុងវិស័យឯកជន (បុគ្គលិក កម្មកររោងចក្រ) និងអង្គការ NGO,"# Boys above 18, whose primary occupation is employment in private sector (staff, factory, NGO)",People,នាក់,Services,មុខរបរសេវាកម្ម,
